"Sex";"Age";"Modes of travel";"Travel motives";"Margins";"Periods";"Stages per person per day (average) (number)";"Distance travelled per stage (average) (passenger kilometres)";"Average travel time per stage (Minutes)"
"Total male and female";"18 to 24 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2021*";"    0.03";"   16.17";"   25.45"
"Total male and female";"18 to 24 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2022*";"    0.03";"   17.51";"   26.89"
"Total male and female";"18 to 24 years";"Car as passenger";"Travel to/from work, (non)-daily commute";"Value";"2023*";"    0.03";"   17.58";"   27.63"
"Total male and female";"18 to 24 years";"Car as passenger";"Shopping, groceries, funshopping.";"Value";"2014*";"    0.06";"   12.59";"   20.82"
"Total male and female";"18 to 24 years";"Car as passenger";"Shopping, groceries, funshopping.";"Value";"2015*";"    0.06";"   12.42";"   20.79"
"Total male and female";"18 to 24 years";"Car as passenger";"Shopping, groceries, funshopping.";"Value";"2016*";"    0.05";"   12.36";"   20.72"
"Total male and female";"18 to 24 years";"Car as passenger";"Shopping, groceries, funshopping.";"Value";"2017*";"    0.05";"   12.94";"   20.75"
"Total male and female";"18 to 24 years";"Car as passenger";"Shopping, groceries, funshopping.";"Value";"2018*";"    0.05";"   12.96";"   20.83"
"Total male and female";"18 to 24 years";"Car as passenger";"Shopping, groceries, funshopping.";"Value";"2019*";"    0.05";"   13.31";"   20.84"
"Total male and female";"18 to 24 years";"Car as passenger";"Shopping, groceries, funshopping.";"Value";"2020*";"    0.05";"   10.45";"   17.85"
"Total male and female";"18 to 24 years";"Car as passenger";"Shopping, groceries, funshopping.";"Value";"2021*";"    0.05";"   11.32";"   18.96"
"Total male and female";"18 to 24 years";"Car as passenger";"Shopping, groceries, funshopping.";"Value";"2022*";"    0.05";"   12.20";"   19.79"
"Total male and female";"18 to 24 years";"Car as passenger";"Shopping, groceries, funshopping.";"Value";"2023*";"    0.06";"   12.76";"   20.35"
"Total male and female";"18 to 24 years";"Car as passenger";"Attending education/courses";"Value";"2014*";"    0.02";"   20.73";"   29.12"
"Total male and female";"18 to 24 years";"Car as passenger";"Attending education/courses";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Car as passenger";"Attending education/courses";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Car as passenger";"Attending education/courses";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Car as passenger";"Attending education/courses";"Value";"2018*";"    0.02";"   19.86";"   29.12"
"Total male and female";"18 to 24 years";"Car as passenger";"Attending education/courses";"Value";"2019*";"    0.02";"   19.68";"   29.02"
"Total male and female";"18 to 24 years";"Car as passenger";"Attending education/courses";"Value";"2020*";"    0.02";"   18.55";"   26.92"
"Total male and female";"18 to 24 years";"Car as passenger";"Attending education/courses";"Value";"2021*";"    0.02";"   19.48";"   27.43"
"Total male and female";"18 to 24 years";"Car as passenger";"Attending education/courses";"Value";"2022*";"    0.02";"   19.16";"   28.45"
"Total male and female";"18 to 24 years";"Car as passenger";"Attending education/courses";"Value";"2023*";"    0.02";"   18.81";"   29.02"
"Total male and female";"18 to 24 years";"Car as passenger";"Leisure";"Value";"2014*";"    0.20";"   24.37";"   33.93"
"Total male and female";"18 to 24 years";"Car as passenger";"Leisure";"Value";"2015*";"    0.19";"   24.54";"   33.82"
"Total male and female";"18 to 24 years";"Car as passenger";"Leisure";"Value";"2016*";"    0.19";"   24.14";"   33.70"
"Total male and female";"18 to 24 years";"Car as passenger";"Leisure";"Value";"2017*";"    0.18";"   24.23";"   33.58"
"Total male and female";"18 to 24 years";"Car as passenger";"Leisure";"Value";"2018*";"    0.18";"   24.86";"   33.67"
"Total male and female";"18 to 24 years";"Car as passenger";"Leisure";"Value";"2019*";"    0.18";"   25.11";"   33.74"
"Total male and female";"18 to 24 years";"Car as passenger";"Leisure";"Value";"2020*";"    0.14";"   22.44";"   33.43"
"Total male and female";"18 to 24 years";"Car as passenger";"Leisure";"Value";"2021*";"    0.15";"   24.80";"   36.25"
"Total male and female";"18 to 24 years";"Car as passenger";"Leisure";"Value";"2022*";"    0.16";"   23.96";"   34.46"
"Total male and female";"18 to 24 years";"Car as passenger";"Leisure";"Value";"2023*";"    0.17";"   24.17";"   33.65"
"Total male and female";"18 to 24 years";"Car as passenger";"Other";"Value";"2014*";"    0.05";"   19.71";"   27.04"
"Total male and female";"18 to 24 years";"Car as passenger";"Other";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Car as passenger";"Other";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Car as passenger";"Other";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Car as passenger";"Other";"Value";"2018*";"    0.04";"   19.60";"   26.46"
"Total male and female";"18 to 24 years";"Car as passenger";"Other";"Value";"2019*";"    0.04";"   19.80";"   26.54"
"Total male and female";"18 to 24 years";"Car as passenger";"Other";"Value";"2020*";"    0.04";"   17.40";"   23.74"
"Total male and female";"18 to 24 years";"Car as passenger";"Other";"Value";"2021*";"    0.05";"   18.05";"   24.71"
"Total male and female";"18 to 24 years";"Car as passenger";"Other";"Value";"2022*";"    0.04";"   17.69";"   25.12"
"Total male and female";"18 to 24 years";"Car as passenger";"Other";"Value";"2023*";"    0.04";"   17.98";"   25.26"
"Total male and female";"18 to 24 years";"Train";"Travel to/from work, (non)-daily commute";"Value";"2014*";"    0.05";"   37.62";"   40.14"
"Total male and female";"18 to 24 years";"Train";"Travel to/from work, (non)-daily commute";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Train";"Travel to/from work, (non)-daily commute";"Value";"2016*";"    0.05";"   37.72";"   40.20"
"Total male and female";"18 to 24 years";"Train";"Travel to/from work, (non)-daily commute";"Value";"2017*";"    0.05";"   37.40";"   40.13"
"Total male and female";"18 to 24 years";"Train";"Travel to/from work, (non)-daily commute";"Value";"2018*";"    0.05";"   37.43";"   40.31"
"Total male and female";"18 to 24 years";"Train";"Travel to/from work, (non)-daily commute";"Value";"2019*";"    0.05";"   37.45";"   40.37"
"Total male and female";"18 to 24 years";"Train";"Travel to/from work, (non)-daily commute";"Value";"2020*";"    0.02";"   35.66";"   38.97"
"Total male and female";"18 to 24 years";"Train";"Travel to/from work, (non)-daily commute";"Value";"2021*";"    0.02";"   34.75";"   38.21"
"Total male and female";"18 to 24 years";"Train";"Travel to/from work, (non)-daily commute";"Value";"2022*";"    0.03";"   36.96";"   40.53"
"Total male and female";"18 to 24 years";"Train";"Travel to/from work, (non)-daily commute";"Value";"2023*";"    0.04";"   38.30";"   41.64"
"Total male and female";"18 to 24 years";"Train";"Shopping, groceries, funshopping.";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Train";"Shopping, groceries, funshopping.";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Train";"Shopping, groceries, funshopping.";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Train";"Shopping, groceries, funshopping.";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Train";"Shopping, groceries, funshopping.";"Value";"2018*";"    0.01";"   43.96";"   46.40"
"Total male and female";"18 to 24 years";"Train";"Shopping, groceries, funshopping.";"Value";"2019*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Train";"Shopping, groceries, funshopping.";"Value";"2020*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Train";"Shopping, groceries, funshopping.";"Value";"2021*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Train";"Shopping, groceries, funshopping.";"Value";"2022*";"    0.01";"   41.59";"   45.04"
"Total male and female";"18 to 24 years";"Train";"Shopping, groceries, funshopping.";"Value";"2023*";"    0.01";"   42.54";"   46.16"
"Total male and female";"18 to 24 years";"Train";"Attending education/courses";"Value";"2014*";"    0.11";"   39.83";"   42.37"
"Total male and female";"18 to 24 years";"Train";"Attending education/courses";"Value";"2015*";"    0.11";"   39.93";"   42.30"
"Total male and female";"18 to 24 years";"Train";"Attending education/courses";"Value";"2016*";"    0.11";"   39.96";"   42.29"
"Total male and female";"18 to 24 years";"Train";"Attending education/courses";"Value";"2017*";"    0.11";"   39.84";"   42.12"
"Total male and female";"18 to 24 years";"Train";"Attending education/courses";"Value";"2018*";"    0.11";"   40.27";"   42.41"
"Total male and female";"18 to 24 years";"Train";"Attending education/courses";"Value";"2019*";"    0.11";"   40.17";"   42.23"
"Total male and female";"18 to 24 years";"Train";"Attending education/courses";"Value";"2020*";"    0.05";"   37.96";"   41.11"
"Total male and female";"18 to 24 years";"Train";"Attending education/courses";"Value";"2021*";"    0.06";"   36.04";"   39.82"
"Total male and female";"18 to 24 years";"Train";"Attending education/courses";"Value";"2022*";"    0.08";"   37.76";"   41.54"
"Total male and female";"18 to 24 years";"Train";"Attending education/courses";"Value";"2023*";"    0.09";"   38.80";"   42.74"
"Total male and female";"18 to 24 years";"Train";"Leisure";"Value";"2014*";"    0.06";"   60.19";"   60.54"
"Total male and female";"18 to 24 years";"Train";"Leisure";"Value";"2015*";"    0.06";"   59.79";"   59.84"
"Total male and female";"18 to 24 years";"Train";"Leisure";"Value";"2016*";"    0.06";"   60.13";"   59.94"
"Total male and female";"18 to 24 years";"Train";"Leisure";"Value";"2017*";"    0.06";"   60.02";"   59.50"
"Total male and female";"18 to 24 years";"Train";"Leisure";"Value";"2018*";"    0.06";"   59.15";"   59.19"
"Total male and female";"18 to 24 years";"Train";"Leisure";"Value";"2019*";"    0.06";"   59.36";"   59.35"
"Total male and female";"18 to 24 years";"Train";"Leisure";"Value";"2020*";"    0.03";"   59.54";"   60.74"
"Total male and female";"18 to 24 years";"Train";"Leisure";"Value";"2021*";"    0.04";"   58.98";"   62.04"
"Total male and female";"18 to 24 years";"Train";"Leisure";"Value";"2022*";"    0.05";"   57.91";"   60.05"
"Total male and female";"18 to 24 years";"Train";"Leisure";"Value";"2023*";"    0.06";"   56.93";"   58.66"
"Total male and female";"18 to 24 years";"Train";"Other";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Train";"Other";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Train";"Other";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Train";"Other";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Train";"Other";"Value";"2018*";"    0.02";"   62.55";"   58.66"
"Total male and female";"18 to 24 years";"Train";"Other";"Value";"2019*";"    0.02";"   62.28";"   58.75"
"Total male and female";"18 to 24 years";"Train";"Other";"Value";"2020*";"    0.01";"   57.37";"   55.03"
"Total male and female";"18 to 24 years";"Train";"Other";"Value";"2021*";"    0.01";"   55.61";"   54.34"
"Total male and female";"18 to 24 years";"Train";"Other";"Value";"2022*";"    0.01";"   57.17";"   56.04"
"Total male and female";"18 to 24 years";"Train";"Other";"Value";"2023*";"    0.02";"   57.58";"   56.84"
"Total male and female";"18 to 24 years";"Bus/metro";"Travel to/from work, (non)-daily commute";"Value";"2014*";"    0.08";"    9.40";"   25.02"
"Total male and female";"18 to 24 years";"Bus/metro";"Travel to/from work, (non)-daily commute";"Value";"2015*";"    0.08";"    9.12";"   24.93"
"Total male and female";"18 to 24 years";"Bus/metro";"Travel to/from work, (non)-daily commute";"Value";"2016*";"    0.08";"    9.10";"   24.87"
"Total male and female";"18 to 24 years";"Bus/metro";"Travel to/from work, (non)-daily commute";"Value";"2017*";"    0.08";"    8.69";"   24.78"
"Total male and female";"18 to 24 years";"Bus/metro";"Travel to/from work, (non)-daily commute";"Value";"2018*";"    0.08";"    8.57";"   24.77"
"Total male and female";"18 to 24 years";"Bus/metro";"Travel to/from work, (non)-daily commute";"Value";"2019*";"    0.08";"    8.45";"   24.59"
"Total male and female";"18 to 24 years";"Bus/metro";"Travel to/from work, (non)-daily commute";"Value";"2020*";"    0.04";"    7.88";"   24.00"
"Total male and female";"18 to 24 years";"Bus/metro";"Travel to/from work, (non)-daily commute";"Value";"2021*";"    0.04";"    8.56";"   25.53"
"Total male and female";"18 to 24 years";"Bus/metro";"Travel to/from work, (non)-daily commute";"Value";"2022*";"    0.05";"    8.72";"   25.89"
"Total male and female";"18 to 24 years";"Bus/metro";"Travel to/from work, (non)-daily commute";"Value";"2023*";"    0.06";"    8.59";"   25.87"
"Total male and female";"18 to 24 years";"Bus/metro";"Shopping, groceries, funshopping.";"Value";"2014*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Bus/metro";"Shopping, groceries, funshopping.";"Value";"2015*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Bus/metro";"Shopping, groceries, funshopping.";"Value";"2016*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Bus/metro";"Shopping, groceries, funshopping.";"Value";"2017*";"       .";"       .";"       ."
"Total male and female";"18 to 24 years";"Bus/metro";"Shopping, groceries, funshopping.";"Value";"2018*";"    0.03";"    7.10";"   23.33"
"Total male and female";"18 to 24 years";"Bus/metro";"Shopping, groceries, funshopping.";"Value";"2019*";"    0.03";"    6.93";"   23.26"
"Total male and female";"18 to 24 years";"Bus/metro";"Shopping, groceries, funshopping.";"Value";"2020*";"    0.02";"    6.17";"   21.84"
"Total male and female";"18 to 24 years";"Bus/metro";"Shopping, groceries, funshopping.";"Value";"2021*";"    0.02";"    6.90";"   23.89"
"Total male and female";"18 to 24 years";"Bus/metro";"Shopping, groceries, funshopping.";"Value";"2022*";"    0.02";"    7.13";"   24.01"
"Total male and female";"18 to 24 years";"Bus/metro";"Shopping, groceries, funshopping.";"Value";"2023*";"    0.02";"    6.96";"   24.16"
"Total male and female";"18 to 24 years";"Bus/metro";"Attending education/courses";"Value";"2014*";"    0.18";"   10.92";"   26.54"
"Total male and female";"18 to 24 years";"Bus/metro";"Attending education/courses";"Value";"2015*";"    0.18";"   10.58";"   26.37"
"Total male and female";"18 to 24 years";"Bus/metro";"Attending education/courses";"Value";"2016*";"    0.18";"   10.31";"   26.22"
"Total male and female";"18 to 24 years";"Bus/metro";"Attending education/courses";"Value";"2017*";"    0.18";"   10.00";"   26.07"
"Total male and female";"18 to 24 years";"Bus/metro";"Attending education/courses";"Value";"2018*";"    0.17";"   10.10";"   26.04"
"Total male and female";"18 to 24 years";"Bus/metro";"Attending education/courses";"Value";"2019*";"    0.17";"    9.73";"   25.83"
"Total male and female";"18 to 24 years";"Bus/metro";"Attending education/courses";"Value";"2020*";"    0.08";"    9.66";"   25.71"
"Total male and female";"18 to 24 years";"Bus/metro";"Attending education/courses";"Value";"2021*";"    0.09";"    9.59";"   26.99"
